date,state,demand
2023-05-09,Karnataka,11679.0
2023-05-10,Karnataka,9308.0
2023-05-11,Karnataka,11374.0
2023-05-12,Karnataka,11289.0
2023-05-13,Karnataka,11280.0
2023-05-14,Karnataka,10472.0
2023-05-15,Karnataka,12681.0
2023-05-16,Karnataka,13477.0
2023-05-17,Karnataka,14353.0
2023-05-18,Karnataka,14690.0
2023-05-19,Karnataka,15111.0
2023-05-20,Karnataka,15092.0
2023-05-21,Karnataka,12877.0
2023-05-22,Karnataka,12774.0
2023-05-23,Karnataka,12556.0
2023-05-24,Karnataka,12297.0
2023-05-25,Karnataka,12346.0
2023-05-26,Karnataka,12777.0
2023-05-27,Karnataka,13117.0
2023-05-28,Karnataka,12636.0
2023-05-29,Karnataka,14085.0
2023-05-30,Karnataka,13020.0
2023-05-31,Karnataka,12609.0
2023-06-01,Karnataka,12138.0
2023-06-02,Karnataka,11971.0
2023-06-03,Karnataka,12848.0
2023-06-04,Karnataka,11906.0
2023-06-05,Karnataka,12994.0
2023-06-06,Karnataka,13516.0
2023-06-07,Karnataka,13398.0
2023-06-08,Karnataka,13646.0
2023-06-09,Karnataka,13300.0
2023-06-10,Karnataka,12422.0
2023-06-11,Karnataka,11054.0
2023-06-12,Karnataka,12172.0
2023-06-13,Karnataka,12867.0
2023-06-14,Karnataka,12762.0
2023-06-15,Karnataka,13841.0
2023-06-16,Karnataka,13670.0
2023-06-17,Karnataka,13621.0
2023-06-18,Karnataka,13506.0
2023-06-19,Karnataka,14198.0
2023-06-20,Karnataka,12742.0
2023-06-21,Karnataka,12888.0
2023-06-22,Karnataka,11922.0
2023-06-23,Karnataka,12511.0
2023-06-24,Karnataka,11504.0
2023-06-25,Karnataka,10448.0
2023-06-26,Karnataka,10887.0
2023-06-27,Karnataka,12165.0
2023-06-28,Karnataka,12152.0
2023-06-29,Karnataka,12890.0
2023-06-30,Karnataka,11552.0
2023-07-01,Karnataka,12037.0
2023-07-02,Karnataka,11135.0
2023-07-03,Karnataka,12232.0
2023-07-04,Karnataka,11484.0
2023-07-05,Karnataka,10787.0
2023-07-06,Karnataka,10630.0
2023-07-07,Karnataka,10636.0
2023-07-08,Karnataka,10913.0
2023-07-09,Karnataka,9527.0
2023-07-10,Karnataka,11454.0
2023-07-11,Karnataka,11718.0
2023-07-12,Karnataka,12010.0
2023-07-13,Karnataka,11970.0
2023-07-14,Karnataka,12038.0
2023-07-15,Karnataka,12359.0
2023-07-16,Karnataka,10580.0
2023-07-17,Karnataka,12053.0
2023-07-18,Karnataka,11004.0
2023-07-19,Karnataka,10657.0
2023-07-20,Karnataka,10512.0
2023-07-21,Karnataka,10808.0
2023-07-22,Karnataka,10120.0
2023-07-23,Karnataka,9074.0
2023-07-24,Karnataka,9291.0
2023-07-25,Karnataka,8425.0
2023-07-26,Karnataka,8903.0
2023-07-27,Karnataka,8577.0
2023-07-28,Karnataka,9478.0
2023-07-29,Karnataka,9568.0
2023-07-30,Karnataka,8806.0
2023-07-31,Karnataka,10594.0
2023-08-01,Karnataka,11054.0
2023-08-02,Karnataka,11521.0
2023-08-03,Karnataka,12028.0
2023-08-04,Karnataka,12892.0
2023-08-05,Karnataka,13008.0
2023-08-06,Karnataka,12193.0
2023-08-07,Karnataka,13488.0
2023-08-08,Karnataka,13775.0
2023-08-09,Karnataka,14720.0
2023-08-10,Karnataka,14684.0
2023-08-11,Karnataka,15233.0
2023-08-12,Karnataka,14965.0
2023-08-13,Karnataka,13600.0
2023-08-14,Karnataka,15429.0
2023-08-15,Karnataka,14851.0
2023-08-16,Karnataka,15944.0
2023-08-17,Karnataka,15966.0
2023-08-18,Karnataka,15908.0
2023-08-19,Karnataka,14241.0
2023-08-20,Karnataka,12775.0
2023-08-21,Karnataka,15060.0
2023-08-22,Karnataka,15679.0
2023-08-23,Karnataka,16272.0
2023-08-24,Karnataka,16272.0
2023-08-25,Karnataka,16950.0
