lead_hours,method,n,mae_c,rmse_c,bias_c
40,timesfm_nwp_c,25,0.8731576538085938,1.0690430434138398,-0.08052139282226563
41,persistence_c,26,6.846153846153846,7.258946734362203,6.846153846153846
41,yesterday_c,26,1.1153846153846154,1.4005493427717788,0.038461538461538464
41,ecmwf_ifs_c,26,1.2884615384615385,1.5520457963108416,-0.8961538461538462
41,bias_corrected_c,26,0.8796441438594277,1.0930268659532905,-0.2881339897475929
41,ridge_corrected_c,26,1.1058454903341899,1.3593654101291943,0.9556658041394603
41,timesfm_c,26,0.906129396878756,1.1156183947734108,-0.08115885807917668
41,timesfm_nwp_c,26,0.8459909879244291,1.1314881281023825,-0.031272594745342545
42,persistence_c,27,7.296296296296297,7.753135566408671,7.296296296296297
42,yesterday_c,27,1.1111111111111112,1.2765694770084508,0.0
42,ecmwf_ifs_c,27,1.2592592592592593,1.5030832509409646,-0.7555555555555554
42,bias_corrected_c,27,0.8361315072537325,1.025978664574066,-0.16563967166711904
42,ridge_corrected_c,27,1.0439615355147085,1.3343152653723027,0.977227864588301
42,timesfm_c,27,1.0123815183286313,1.2078992110238378,0.06257064254195602
42,timesfm_nwp_c,27,0.9054009472882306,1.0956723338170784,0.054269508079246236
43,persistence_c,26,6.884615384615385,7.235064190879984,6.884615384615385
43,yesterday_c,26,0.7307692307692307,0.9805806756909202,-0.11538461538461539
43,ecmwf_ifs_c,26,1.2846153846153845,1.490740652262389,-0.8076923076923077
43,bias_corrected_c,26,0.8758951231523299,1.0449356604489568,-0.19967245128605443
43,ridge_corrected_c,26,0.9330549672182576,1.214175894994905,0.8340555629915195
43,timesfm_c,26,0.7538627477792593,0.9178876441502567,-0.013321289649376502
43,timesfm_nwp_c,26,0.7355727415818435,0.9605302444298671,-0.07486453423133263
44,persistence_c,26,5.769230769230769,6.176879969195302,5.769230769230769
44,yesterday_c,26,0.6923076923076923,1.0,-0.07692307692307693
44,ecmwf_ifs_c,26,0.9576923076923076,1.1917988988854686,-0.36538461538461564
44,bias_corrected_c,26,0.7799900445259608,1.0280834984168894,0.2264714393937524
44,ridge_corrected_c,26,1.1361586602454687,1.3377327649721837,1.10979647068379
44,timesfm_c,26,0.831280781672551,1.1053997697631073,-0.20510042630709135
44,timesfm_nwp_c,26,0.8331319368802584,1.0585492812713932,-0.2912258735069862
45,persistence_c,26,4.153846153846154,4.428925898610702,4.153846153846154
45,yesterday_c,26,0.8846153846153846,1.255755978254962,0.038461538461538464
45,ecmwf_ifs_c,26,0.8692307692307695,1.1097470259200795,0.19230769230769246
45,bias_corrected_c,26,1.190759068050006,1.4765541804030426,0.7841637470860606
45,ridge_corrected_c,26,1.5788548743274566,1.8029471842579892,1.4863608774441892
45,timesfm_c,26,0.9224664247952975,1.31534403653802,-0.2474340292123648
45,timesfm_nwp_c,26,0.8690283115093524,1.1439769827293345,-0.2672225511991061
46,persistence_c,27,2.6666666666666665,3.2546263368615134,2.6666666666666665
